distance,physical_error_rate,logical_error_rate
3,0.001,0.00084
3,0.0015,0.00158
3,0.002,0.00246
3,0.003,0.0039
3,0.004,0.00728
3,0.005,0.00978
3,0.006,0.0143066666666666
3,0.0065,0.01552
3,0.007,0.0173333333333333
3,0.0075,0.0199333333333333
3,0.008,0.02184
3,0.0085,0.0256666666666666
3,0.009,0.0277333333333333
3,0.0095,0.02856
3,0.01,0.0312
3,0.0125,0.04522
3,0.015,0.06252
3,0.02,0.09678
5,0.001,6e-05
5,0.0015,0.00018
5,0.002,0.00064
5,0.003,0.00186
5,0.004,0.00336
5,0.005,0.0062
5,0.006,0.0097466666666666
5,0.0065,0.0118933333333333
5,0.007,0.01488
5,0.0075,0.0180666666666666
5,0.008,0.02232
5,0.0085,0.0265066666666666
5,0.009,0.0291733333333333
5,0.0095,0.0343066666666666
5,0.01,0.03888
5,0.0125,0.06714
5,0.015,0.09942
5,0.02,0.17996
7,0.001,0.0
7,0.0015,0.0001
7,0.002,6e-05
7,0.003,0.00054
7,0.004,0.00118
7,0.005,0.00344
7,0.006,0.0072533333333333
7,0.0065,0.0087466666666666
7,0.007,0.0119866666666666
7,0.0075,0.0145866666666666
7,0.008,0.0187066666666666
7,0.0085,0.02324
7,0.009,0.0278933333333333
7,0.0095,0.0332133333333333
7,0.01,0.0405066666666666
7,0.0125,0.08128
7,0.015,0.13702
7,0.02,0.26168
9,0.001,0.0
9,0.0015,0.0
9,0.002,2e-05
9,0.003,0.0003
9,0.004,0.00046
9,0.005,0.0019
9,0.006,0.00408
9,0.0065,0.0061733333333333
9,0.007,0.00916
9,0.0075,0.0129333333333333
9,0.008,0.01604
9,0.0085,0.0197333333333333
9,0.009,0.02796
9,0.0095,0.0341466666666666
9,0.01,0.0434266666666666
9,0.0125,0.09684
9,0.015,0.17806
9,0.02,0.34062
